mu  pmu  pmuanyl
0.010000 0.000000e+00 0.000000e+00
0.010393 0.000000e+00 0.000000e+00
0.010801 0.000000e+00 0.000000e+00
0.011225 0.000000e+00 0.000000e+00
0.011665 0.000000e+00 0.000000e+00
0.012123 0.000000e+00 0.000000e+00
0.012599 0.000000e+00 0.000000e+00
0.013094 0.000000e+00 0.000000e+00
0.013608 0.000000e+00 0.000000e+00
0.014142 0.000000e+00 0.000000e+00
0.014697 0.000000e+00 0.000000e+00
0.015274 0.000000e+00 0.000000e+00
0.015873 0.000000e+00 0.000000e+00
0.016496 0.000000e+00 0.000000e+00
0.017144 0.000000e+00 0.000000e+00
0.017817 0.000000e+00 0.000000e+00
0.018516 0.000000e+00 0.000000e+00
0.019243 0.000000e+00 0.000000e+00
0.019999 0.000000e+00 0.000000e+00
0.020784 0.000000e+00 0.000000e+00
0.021600 0.000000e+00 0.000000e+00
0.022448 0.000000e+00 0.000000e+00
0.023329 0.000000e+00 0.000000e+00
0.024245 0.000000e+00 0.000000e+00
0.025196 0.000000e+00 0.000000e+00
0.026185 0.000000e+00 0.000000e+00
0.027213 0.000000e+00 0.000000e+00
0.028282 0.000000e+00 0.000000e+00
0.029392 0.000000e+00 0.000000e+00
0.030546 0.000000e+00 0.000000e+00
0.031745 0.000000e+00 0.000000e+00
0.032991 0.000000e+00 0.000000e+00
0.034286 0.000000e+00 0.000000e+00
0.035632 0.000000e+00 0.000000e+00
0.037031 0.000000e+00 0.000000e+00
0.038484 0.000000e+00 0.000000e+00
0.039995 0.000000e+00 0.000000e+00
0.041565 0.000000e+00 0.000000e+00
0.043197 0.000000e+00 0.000000e+00
0.044893 0.000000e+00 0.000000e+00
0.046655 0.000000e+00 0.000000e+00
0.048486 0.000000e+00 0.000000e+00
0.050390 0.000000e+00 0.000000e+00
0.052368 0.000000e+00 0.000000e+00
0.054423 0.000000e+00 0.000000e+00
0.056560 0.000000e+00 0.000000e+00
0.058780 0.000000e+00 0.000000e+00
0.061088 0.000000e+00 0.000000e+00
0.063486 0.000000e+00 0.000000e+00
0.065978 0.000000e+00 0.000000e+00
0.068568 0.000000e+00 0.000000e+00
0.071260 0.000000e+00 0.000000e+00
0.074057 0.000000e+00 0.000000e+00
0.076964 0.000000e+00 0.000000e+00
0.079985 0.000000e+00 0.000000e+00
0.083125 0.000000e+00 0.000000e+00
0.086388 0.000000e+00 0.000000e+00
0.089780 0.000000e+00 0.000000e+00
0.093304 0.000000e+00 0.000000e+00
0.096967 0.000000e+00 0.000000e+00
0.100773 0.000000e+00 0.000000e+00
0.104729 0.000000e+00 0.000000e+00
0.108840 0.000000e+00 0.000000e+00
0.113113 0.000000e+00 0.000000e+00
0.117553 0.000000e+00 0.000000e+00
0.122168 0.000000e+00 0.000000e+00
0.126964 0.000000e+00 0.000000e+00
0.131948 0.000000e+00 0.000000e+00
0.137127 0.000000e+00 0.000000e+00
0.142510 0.000000e+00 0.000000e+00
0.148105 0.000000e+00 0.000000e+00
0.153919 0.000000e+00 0.000000e+00
0.159961 0.000000e+00 0.000000e+00
0.166240 0.000000e+00 0.000000e+00
0.172766 0.000000e+00 0.000000e+00
0.179548 0.000000e+00 0.000000e+00
0.186596 0.000000e+00 0.000000e+00
0.193921 0.000000e+00 0.000000e+00
0.201534 0.000000e+00 0.000000e+00
0.209445 0.000000e+00 0.000000e+00
0.217667 0.000000e+00 0.000000e+00
0.226212 0.000000e+00 0.000000e+00
0.235092 0.000000e+00 0.000000e+00
0.244320 0.000000e+00 0.000000e+00
0.253911 0.000000e+00 0.000000e+00
0.263879 0.000000e+00 0.000000e+00
0.274238 0.000000e+00 0.000000e+00
0.285003 0.000000e+00 0.000000e+00
0.296191 0.000000e+00 0.000000e+00
0.307818 0.000000e+00 0.000000e+00
0.319902 0.000000e+00 0.000000e+00
0.332460 0.000000e+00 0.000000e+00
0.345511 0.000000e+00 0.000000e+00
0.359074 0.000000e+00 0.000000e+00
0.373170 0.000000e+00 0.000000e+00
0.387819 0.000000e+00 0.000000e+00
0.403043 0.000000e+00 0.000000e+00
0.418865 0.000000e+00 0.000000e+00
0.435307 0.000000e+00 0.000000e+00
0.452396 0.000000e+00 0.000000e+00
0.470155 0.000000e+00 0.000000e+00
0.488611 0.000000e+00 0.000000e+00
0.507792 0.000000e+00 0.000000e+00
0.527725 0.000000e+00 0.000000e+00
0.548442 0.000000e+00 0.000000e+00
0.569971 0.000000e+00 0.000000e+00
0.592346 0.000000e+00 0.000000e+00
0.615599 0.000000e+00 0.000000e+00
0.639764 0.000000e+00 0.000000e+00
0.664879 0.000000e+00 0.000000e+00
0.690979 0.000000e+00 0.000000e+00
0.718104 0.000000e+00 0.000000e+00
0.746294 0.000000e+00 0.000000e+00
0.775590 0.000000e+00 0.000000e+00
0.806036 0.000000e+00 0.000000e+00
0.837678 0.000000e+00 0.000000e+00
0.870561 0.000000e+00 0.000000e+00
0.904736 0.000000e+00 0.000000e+00
0.940252 0.000000e+00 0.000000e+00
0.977162 0.000000e+00 0.000000e+00
1.015521 0.000000e+00 0.000000e+00
1.055386 0.000000e+00 0.000000e+00
1.096816 0.000000e+00 0.000000e+00
1.139872 0.000000e+00 0.000000e+00
1.184619 0.000000e+00 0.000000e+00
1.231122 0.000000e+00 0.000000e+00
1.279450 0.000000e+00 0.000000e+00
1.329676 0.000000e+00 0.000000e+00
1.381873 0.000000e+00 0.000000e+00
1.436120 0.000000e+00 0.000000e+00
1.492496 0.000000e+00 0.000000e+00
1.551084 0.000000e+00 0.000000e+00
1.611973 0.000000e+00 0.000000e+00
1.675252 0.000000e+00 0.000000e+00
1.741016 0.000000e+00 0.000000e+00
1.809360 0.000000e+00 0.000000e+00
1.880388 0.000000e+00 0.000000e+00
1.954204 0.000000e+00 0.000000e+00
2.030918 0.000000e+00 0.000000e+00
2.110643 0.000000e+00 0.000000e+00
2.193497 0.000000e+00 0.000000e+00
2.279605 0.000000e+00 0.000000e+00
2.369092 0.000000e+00 0.000000e+00
2.462092 0.000000e+00 0.000000e+00
2.558744 0.000000e+00 0.000000e+00
2.659189 0.000000e+00 0.000000e+00
2.763577 0.000000e+00 0.000000e+00
2.872063 0.000000e+00 0.000000e+00
2.984808 0.000000e+00 0.000000e+00
3.101979 0.000000e+00 0.000000e+00
3.223749 0.000000e+00 0.000000e+00
3.350299 0.000000e+00 0.000000e+00
3.481818 0.000000e+00 0.000000e+00
3.618499 0.000000e+00 0.000000e+00
3.760545 0.000000e+00 0.000000e+00
